"","Percent of Population","Rounded","Key"
"Under18",17.4573055028463,17,"Adolescent: Under 18"
"YoungAdult",12.9574410409325,13,"Young Adult: 18 to 30"
"MiddleAge",43.7381404174573,44,"Middle-Aged: 30 to 65"
"Elder",25.8471130387639,26,"Senior: 65 and Over"
